scooter_id,w,h
1,185,413
1,185,414
1,186,416
1,187,419
1,189,421
1,190,423
1,191,424
1,191,425
1,192,425
1,192,427
1,193,427
1,192,428
1,192,428
1,193,428
1,193,428
1,191,427
1,191,427
1,192,427
1,192,427
1,192,427
1,191,427
1,191,426
1,192,426
1,191,426
1,193,427
1,192,427
1,192,428
1,192,429
1,192,429
1,192,429
1,193,429
1,193,429
1,193,429
1,194,430
1,193,429
1,194,429
1,194,429
1,194,429
1,194,430
1,194,430
1,194,430
1,194,431
1,195,432
1,194,433
1,195,434
1,195,435
1,194,435
1,194,434
1,195,436
1,197,437
1,198,438
1,198,439
1,199,440
1,199,440
1,199,440
1,199,440
1,198,440
1,198,440
1,197,439
1,198,440
1,197,441
1,199,443
1,198,444
1,198,445
1,198,445
1,198,444
1,197,444
1,197,444
1,197,444
1,197,444
1,198,446
1,198,446
1,198,446
1,198,447
1,198,447
1,197,446
1,198,446
1,199,447
1,199,447
1,199,448
1,199,448
1,200,449
1,200,449
1,199,448
1,199,447
1,200,448
1,200,449
1,199,449
1,199,449
1,199,448
1,200,448
1,200,449
1,201,449
1,201,449
1,202,449
1,202,450
1,203,450
1,203,450
1,203,451
1,203,452
1,204,452
1,204,453
1,205,453
1,205,453
1,206,454
1,206,454
1,206,455
1,207,455
1,207,456
1,208,456
1,208,456
1,208,457
1,208,457
1,208,457
1,209,459
1,209,459
1,209,460
1,209,459
1,209,458
1,211,459
1,211,459
1,211,459
1,211,460
1,211,460
1,212,460
1,213,461
1,213,461
1,213,462
1,214,462
1,213,462
1,214,463
1,214,463
1,213,463
1,214,462
1,214,463
1,215,463
1,215,464
1,215,464
1,215,464
1,216,464
1,217,465
1,217,465
1,218,466
1,218,466
1,217,466
1,218,466
1,218,467
1,218,467
1,218,467
1,219,468
1,219,468
1,219,468
1,218,468
1,219,469
1,219,469
1,219,469
1,219,470
1,220,470
1,219,470
1,219,470
1,220,471
1,221,472
1,221,473
1,222,474
1,222,474
1,222,474
1,221,474
1,223,474
1,222,475
1,222,475
1,222,475
1,222,476
1,223,477
1,222,477
1,222,478
1,222,477
1,222,477
1,222,478
1,221,478
1,222,478
1,222,479
1,222,479
1,222,479
1,221,479
1,221,480
1,222,480
1,223,480
1,222,481
1,222,482
1,222,482
1,220,477
1,220,475
1,220,474
1,219,474
1,220,476
1,221,476
1,222,477
1,222,477
1,223,479
1,225,481
1,226,482
1,227,482
1,228,483
1,228,484
1,230,485
1,230,486
1,231,485
1,231,485
1,233,485
1,233,487
1,234,489
1,234,490
1,234,490
1,235,492
1,235,493
1,236,494
1,236,494
1,237,495
1,236,496
1,237,496
1,235,495
1,235,497
1,236,499
1,236,499
1,236,501
1,237,503
1,237,503
1,238,504
1,239,505
1,238,506
1,239,507
1,239,507
1,239,507
1,239,509
1,240,509
1,241,510
1,241,511
1,241,512
1,243,513
1,244,514
1,244,515
1,244,515
1,245,515
1,245,515
1,246,515
1,246,515
1,246,516
1,246,517
1,246,517
1,239,508
1,237,506
1,237,510
1,237,511
1,237,510
1,236,510
1,237,512
1,237,513
1,237,513
1,238,513
1,240,518
1,240,521
1,242,523
1,243,523
1,243,524
1,242,522
1,242,524
1,243,526
1,243,527
1,244,528
1,244,529
1,245,530
1,245,530
1,244,529
1,243,527
1,243,528
1,242,530
1,245,537
1,247,542
1,248,541
1,249,544
1,250,545
1,251,546
1,250,544
1,252,545
1,254,552
1,258,562
1,260,567
1,261,570
1,261,572
1,260,570
1,259,567
1,260,572
1,261,572
1,260,574
1,261,575
1,261,576
1,260,575
1,258,572
1,258,573
1,257,574
1,256,575
1,256,577
1,255,575
1,256,578
1,254,575
1,255,575
1,253,571
1,252,569
1,251,562
1,251,561
1,250,556
1,249,555
1,250,555
1,250,554
1,252,559
1,254,565
1,255,566
1,259,574
1,262,583
1,263,587
1,263,588
1,262,589
1,263,590
1,265,596
1,267,599
1,268,602
1,269,604
1,269,604
1,268,605
1,268,603
1,269,605
1,270,607
1,271,607
1,272,609
1,273,609
1,275,613
1,276,615
1,277,617
1,278,621
1,278,619
1,279,623
1,279,626
1,280,628
1,280,629
1,280,630
1,280,630
1,281,630
1,280,628
1,279,626
1,280,628
1,281,630
1,282,632
1,281,632
1,281,630
1,281,629
1,282,630
1,284,633
1,286,637
1,287,637
1,295,657
1,299,667
1,300,671
1,302,674
1,302,674
1,292,645
1,300,665
1,296,652
1,303,669
1,309,678
1,312,682
1,314,684
1,314,685
1,317,690
1,317,692
1,319,697
1,323,705
1,327,717
1,329,722
1,331,727
1,330,724
1,329,721
1,328,718
1,331,719
