scooter_id,w,h
1,137,334
1,138,335
1,138,334
1,138,333
1,138,333
1,138,333
1,138,333
1,140,334
1,140,334
1,140,334
1,141,335
1,141,335
1,141,336
1,142,336
1,142,336
1,142,336
1,143,337
1,143,338
1,142,338
1,142,338
1,143,338
1,143,338
1,143,339
1,143,339
1,143,339
1,143,339
1,143,339
1,145,339
1,145,339
1,145,339
1,145,338
1,144,338
1,144,337
1,144,336
1,144,336
1,144,336
1,145,336
1,145,337
1,145,338
1,147,339
1,147,339
1,146,340
1,147,340
1,147,341
1,147,341
1,147,342
1,147,342
1,145,342
1,145,342
1,145,342
1,145,341
1,146,341
1,145,341
1,146,342
1,146,342
1,146,342
1,146,342
1,146,342
1,144,341
1,145,340
1,145,341
1,145,341
1,145,341
1,145,341
1,146,343
1,145,343
1,146,343
1,146,343
1,146,343
1,146,343
1,146,343
1,145,343
1,145,343
1,145,343
1,146,343
1,144,343
1,145,342
1,144,343
1,143,341
1,143,340
1,143,341
1,143,341
1,144,341
1,143,341
1,143,342
1,143,342
1,143,342
1,143,343
1,144,343
1,144,344
1,144,345
1,145,345
1,145,346
1,144,346
1,144,346
1,145,346
1,145,346
1,146,347
1,147,348
1,146,348
1,146,348
1,147,349
1,146,349
1,146,348
1,146,348
1,146,347
1,146,347
1,146,347
1,146,347
1,146,348
1,147,348
1,146,348
1,146,350
1,146,349
1,146,350
1,147,350
1,146,352
1,147,351
1,147,351
1,147,350
1,148,352
1,148,350
1,147,349
1,147,346
1,148,346
1,148,346
1,149,348
1,150,350
1,151,354
1,151,351
1,151,352
1,151,351
1,151,352
1,152,354
1,152,355
1,152,355
1,152,356
1,152,356
1,152,356
1,153,357
1,153,357
1,152,355
1,153,355
1,152,354
1,152,355
1,151,353
1,150,351
1,151,351
1,151,350
1,151,350
1,150,350
1,150,350
1,152,353
1,153,357
1,151,357
1,150,355
1,152,359
1,152,362
1,153,363
1,153,364
1,153,361
1,152,361
1,154,365
1,155,366
1,154,363
1,155,362
1,155,362
1,155,361
1,156,362
1,157,362
1,156,361
1,156,361
1,156,359
1,159,365
1,159,367
1,160,368
1,159,369
1,159,369
1,158,369
1,158,369
1,159,369
1,157,369
1,158,368
1,157,369
1,157,369
1,157,368
1,157,368
1,157,369
1,157,368
1,157,368
1,158,368
1,158,369
1,158,369
1,157,369
1,158,369
1,157,369
1,157,369
1,158,369
1,158,369
1,157,370
1,157,370
1,157,371
1,157,372
1,157,371
1,158,372
1,157,372
1,157,373
1,157,373
1,157,373
1,157,374
1,157,375
1,157,375
1,157,374
1,157,373
1,157,373
1,157,373
1,158,374
1,158,374
1,157,374
1,158,373
1,157,373
1,158,374
1,158,375
1,159,375
1,159,376
1,160,376
1,160,376
1,161,376
1,161,377
1,161,377
1,162,377
1,161,377
1,162,378
1,162,377
1,162,377
1,162,376
1,163,377
1,163,378
1,163,377
1,163,378
1,164,378
1,164,380
1,165,380
1,165,381
1,165,382
1,165,382
1,166,383
1,166,383
1,166,383
1,166,384
1,167,383
1,167,384
1,167,384
1,167,384
1,167,384
1,167,384
1,168,384
1,168,385
1,169,385
1,168,386
1,168,386
1,168,386
1,167,386
1,167,384
1,166,385
1,166,385
1,167,387
1,167,386
1,167,388
1,167,388
1,168,388
1,168,387
1,169,388
1,168,389
1,168,389
1,169,389
1,169,390
1,170,390
1,171,391
1,171,392
1,171,391
1,171,392
1,172,392
1,172,391
1,172,391
1,172,392
1,172,392
1,172,392
1,173,392
1,173,392
1,173,392
1,173,391
1,173,391
1,173,392
1,173,392
1,172,391
1,173,391
1,173,391
1,173,393
1,173,393
1,172,393
1,172,393
1,173,393
1,172,393
1,172,394
1,173,394
1,172,394
1,173,394
1,173,394
1,173,394
1,172,394
1,172,394
1,172,395
